"국립공원","생물분류","종명","학명","분류명","경도","위도","조사일자","개체수"
"가야산","곤충류","가는무늬하루살이","Ephemera separigata","가는무늬하루살이","128.1415","35.8047","2021-07-01","12"
"가야산","곤충류","가는무늬하루살이","Ephemera separigata","가는무늬하루살이","128.0969","35.8023","2021-07-01","17"
"가야산","곤충류","가는무늬하루살이","Ephemera separigata","가는무늬하루살이","128.0969","35.8023","2021-10-05","22"
"가야산","곤충류","가는무늬하루살이","Ephemera separigata","가는무늬하루살이","128.0969","35.8023","2021-04-06","2"
"가야산","곤충류","가는무늬하루살이","Ephemera separigata","가는무늬하루살이","128.1415","35.8047","2021-10-05","11"
"가야산","곤충류","가는무늬하루살이","Ephemera separigata","가는무늬하루살이","128.0975","35.792","2021-10-05","2"
"가야산","곤충류","가는무늬하루살이","Ephemera separigata","가는무늬하루살이","128.1415","35.8047","2021-04-06","7"
"가야산","곤충류","가시우묵날도래","Neophylax ussuriensis","가시우묵날도래","128.1017","35.7885","2021-04-06","14"
"가야산","곤충류","가시우묵날도래","Neophylax ussuriensis","가시우묵날도래","128.124","35.7776","2021-04-06","9"
"가야산","곤충류","가시우묵날도래","Neophylax ussuriensis","가시우묵날도래","128.0975","35.792","2021-04-07","28"
"가야산","곤충류","갈고리하루살이","Procloeon pennulatum","갈고리하루살이","128.0975","35.792","2021-07-01","1"
"가야산","곤충류","감초하루살이","Baetis silvaticus","감초하루살이","128.124","35.7776","2021-04-06","1"
"가야산","곤충류","감초하루살이","Baetis silvaticus","감초하루살이","128.1415","35.8047","2021-10-05","2"
"가야산","곤충류","감초하루살이","Baetis silvaticus","감초하루살이","128.1415","35.8047","2021-07-01","3"
"가야산","곤충류","개똥하루살이","Baetis fuscatus","개똥하루살이","128.1017","35.7885","2021-07-01","5"
"가야산","곤충류","개똥하루살이","Baetis fuscatus","개똥하루살이","128.0975","35.792","2021-07-01","1"
"가야산","곤충류","개똥하루살이","Baetis fuscatus","개똥하루살이","128.124","35.7776","2021-07-02","2"
"가야산","곤충류","개똥하루살이","Baetis fuscatus","개똥하루살이","128.1415","35.8047","2021-10-05","3"
"가야산","곤충류","개똥하루살이","Baetis fuscatus","개똥하루살이","128.0694","35.7925","2021-10-05","43"
"가야산","곤충류","개똥하루살이","Baetis fuscatus","개똥하루살이","128.1017","35.7885","2021-10-05","4"
"가야산","곤충류","개똥하루살이","Baetis fuscatus","개똥하루살이","128.124","35.7776","2021-10-06","2"
"가야산","곤충류","검은머리물날도래","Rhyacophila nigrocephala","검은머리물날도래","128.1017","35.7885","2021-07-01","3"
"가야산","곤충류","검은머리물날도래","Rhyacophila nigrocephala","검은머리물날도래","128.124","35.7776","2021-10-06","6"
"가야산","곤충류","검은머리물날도래","Rhyacophila nigrocephala","검은머리물날도래","128.1017","35.7885","2021-10-05","1"
"가야산","곤충류","검은머리물날도래","Rhyacophila nigrocephala","검은머리물날도래","128.124","35.7776","2021-07-02","6"
"가야산","곤충류","검은머리물날도래","Rhyacophila nigrocephala","검은머리물날도래","128.0969","35.8023","2021-07-01","2"
"가야산","곤충류","곤봉물날도래","Rhyacophila yamanakensis","곤봉물날도래","128.0975","35.792","2021-04-07","1"
"가야산","곤충류","곤봉물날도래","Rhyacophila yamanakensis","곤봉물날도래","128.1017","35.7885","2021-07-01","2"
"가야산","곤충류","그물강도래","Megarcys ochracea","그물강도래","128.1415","35.8047","2021-10-05","1"
"가야산","곤충류","깜장하루살이","Nigrobaetis bacillus","깜장하루살이","128.124","35.7776","2021-10-06","1"
"가야산","곤충류","깜장하루살이","Nigrobaetis bacillus","깜장하루살이","128.1415","35.8047","2021-07-01","7"
"가야산","곤충류","깜장하루살이","Nigrobaetis bacillus","깜장하루살이","128.1415","35.8047","2021-04-06","1"
"가야산","곤충류","깜장하루살이","Nigrobaetis bacillus","깜장하루살이","128.0969","35.8023","2021-04-06","1"
"가야산","곤충류","깜장하루살이","Nigrobaetis bacillus","깜장하루살이","128.1017","35.7885","2021-07-01","5"
"가야산","곤충류","깜장하루살이","Nigrobaetis bacillus","깜장하루살이","128.1017","35.7885","2021-10-05","1"
"가야산","곤충류","깜장하루살이","Nigrobaetis bacillus","깜장하루살이","128.124","35.7776","2021-07-02","1"
"가야산","곤충류","꼬마줄날도래","Cheumatopsyche brevilineata","꼬마줄날도래","128.1017","35.7885","2021-10-05","1"
"가야산","곤충류","날개날도래","Molanna moesta","날개날도래","128.124","35.7776","2021-07-02","4"
"가야산","곤충류","날개날도래","Molanna moesta","날개날도래","128.124","35.7776","2021-10-06","4"
"가야산","곤충류","날개날도래","Molanna moesta","날개날도래","128.0975","35.792","2021-10-05","1"
"가야산","곤충류","넓은머리물날도래","Rhyacophila brevicephala","넓은머리물날도래","128.1415","35.8047","2021-07-01","1"
"가야산","곤충류","네모집날도래","Lepidostoma albardanum","네모집날도래","128.1415","35.8047","2021-04-06","1"
"가야산","곤충류","노랑무늬물방개","Oreodytes natrix","노랑무늬물방개","128.0975","35.792","2021-07-01","1"
"가야산","곤충류","녹색강도래","Sweltsa nikkoensis","녹색강도래","128.0969","35.8023","2021-10-05","9"
"가야산","곤충류","녹색강도래","Sweltsa nikkoensis","녹색강도래","128.0969","35.8023","2021-04-06","20"
"가야산","곤충류","녹색강도래","Sweltsa nikkoensis","녹색강도래","128.1415","35.8047","2021-04-06","24"
"가야산","곤충류","녹색강도래","Sweltsa nikkoensis","녹색강도래","128.0969","35.8023","2021-07-01","4"
"가야산","곤충류","녹색강도래","Sweltsa nikkoensis","녹색강도래","128.1415","35.8047","2021-07-01","5"
"가야산","곤충류","녹색강도래","Sweltsa nikkoensis","녹색강도래","128.1415","35.8047","2021-10-05","6"
"가야산","곤충류","녹색강도래","Sweltsa nikkoensis","녹색강도래","128.0975","35.792","2021-04-07","1"
"가야산","곤충류","녹색강도래","Sweltsa nikkoensis","녹색강도래","128.124","35.7776","2021-04-06","21"
"가야산","곤충류","동양줄날도래","Hydropsyche orientalis","동양줄날도래","128.0975","35.792","2021-07-01","1"
"가야산","곤충류","동양줄날도래","Hydropsyche orientalis","동양줄날도래","128.124","35.7776","2021-10-06","14"
"가야산","곤충류","동양줄날도래","Hydropsyche orientalis","동양줄날도래","128.1017","35.7885","2021-10-05","34"
"가야산","곤충류","동양줄날도래","Hydropsyche orientalis","동양줄날도래","128.0975","35.792","2021-10-05","22"
"가야산","곤충류","동양줄날도래","Hydropsyche orientalis","동양줄날도래","128.124","35.7776","2021-07-02","14"
"가야산","곤충류","동양줄날도래","Hydropsyche orientalis","동양줄날도래","128.1017","35.7885","2021-07-01","32"
"가야산","곤충류","동양하루살이","Ephemera orientalis","동양하루살이","128.0969","35.8023","2021-10-05","2"
"가야산","곤충류","동양하루살이","Ephemera orientalis","동양하루살이","128.0975","35.792","2021-10-05","1"
"가야산","곤충류","두갈래하루살이","Paraleptophlebia japonica","두갈래하루살이","128.0969","35.8023","2021-04-06","26"
"가야산","곤충류","두갈래하루살이","Paraleptophlebia japonica","두갈래하루살이","128.1017","35.7885","2021-04-06","8"
"가야산","곤충류","두갈래하루살이","Paraleptophlebia japonica","두갈래하루살이","128.1415","35.8047","2021-04-06","14"
"가야산","곤충류","두갈래하루살이","Paraleptophlebia japonica","두갈래하루살이","128.0969","35.8023","2021-10-05","3"
